PDSTIME,M65536,MOD60,FDS_Line,MAG_ID,BR,BTheta,BPhi,BMAG,AVG_BMAG,DELTA,LAMBDA,RMS_RS,RMS_BT,RMS_BPhi,NPTS,DFLAG
1986-01-25 00:00:01.857000+00:00,26855,22,33,1,-14.72,-4.141,-3.217,15.626,15.626,-11.882,195.713,0.013,0.014,0.011,32,
1986-01-25 00:00:03.777000+00:00,26855,22,65,1,-14.729,-4.152,-3.219,15.638,15.638,-11.879,195.744,0.012,0.014,0.011,32,
1986-01-25 00:00:05.697000+00:00,26855,22,97,1,-14.735,-4.16,-3.204,15.643,15.643,-11.821,195.767,0.014,0.005,0.009,32,
1986-01-25 00:00:07.617000+00:00,26855,22,129,1,-14.733,-4.157,-3.204,15.64,15.64,-11.82,195.756,0.013,0.013,0.012,32,
1986-01-25 00:00:09.537000+00:00,26855,22,161,1,-14.726,-4.144,-3.203,15.63,15.63,-11.826,195.719,0.015,0.012,0.01,32,
1986-01-25 00:00:11.457000+00:00,26855,22,193,1,-14.721,-4.151,-3.196,15.625,15.625,-11.801,195.749,0.011,0.008,0.007,32,
1986-01-25 00:00:13.377000+00:00,26855,22,225,1,-14.72,-4.151,-3.195,15.625,15.625,-11.801,195.747,0.013,0.013,0.012,32,
1986-01-25 00:00:15.297000+00:00,26855,22,257,1,-14.724,-4.146,-3.186,15.625,15.625,-11.764,195.726,0.011,0.012,0.01,32,
1986-01-25 00:00:17.217000+00:00,26855,22,289,1,-14.716,-4.145,-3.184,15.617,15.617,-11.762,195.732,0.008,0.01,0.006,32,
1986-01-25 00:00:19.137000+00:00,26855,22,321,1,-14.718,-4.15,-3.184,15.62,15.62,-11.762,195.744,0.016,0.01,0.007,32,
1986-01-25 00:00:21.057000+00:00,26855,22,353,1,-14.71,-4.143,-3.179,15.61,15.61,-11.751,195.73,0.013,0.015,0.008,32,
