PDSTIME,M65536,MOD60,FDS_LINE,MAG_ID,BR,BT,BN,BMAG,AVG_BMAG,DELTA,LAMBDA,BR_RMS,BT_RMS,BN_RMS,NPTS,DFLAG
1986-01-24 00:00:00.033000+00:00,26825,22,1,1,-0.03,-0.23,0.133,0.267,0.268,29.74,262.463,0.003,0.009,0.026,5,
1986-01-24 00:00:48.033000+00:00,26825,23,1,1,-0.024,-0.236,0.107,0.26,0.261,24.318,264.237,0.006,0.004,0.008,5,
1986-01-24 00:01:36.033000+00:00,26825,24,1,1,-0.024,-0.233,0.111,0.259,0.26,25.3,264.21,0.004,0.01,0.023,5,
1986-01-24 00:02:24.032000+00:00,26825,25,1,1,-0.032,-0.223,0.153,0.273,0.273,34.172,261.965,0.008,0.007,0.007,5,
1986-01-24 00:03:12.032000+00:00,26825,26,1,1,-0.045,-0.203,0.175,0.272,0.272,40.129,257.379,0.004,0.006,0.01,5,
1986-01-24 00:04:00.032000+00:00,26825,27,1,1,-0.039,-0.197,0.156,0.255,0.255,37.81,258.921,0.003,0.007,0.009,5,
1986-01-24 00:04:48.032000+00:00,26825,28,1,1,-0.027,-0.242,0.028,0.245,0.253,6.562,263.569,0.012,0.02,0.06,5,
1986-01-24 00:05:36.032000+00:00,26825,29,1,1,-0.043,-0.259,0.004,0.263,0.265,0.922,260.521,0.012,0.007,0.027,5,
1986-01-24 00:06:24.032000+00:00,26825,30,1,1,-0.053,-0.264,-0.012,0.269,0.269,-2.553,258.698,0.007,0.005,0.008,5,
1986-01-24 00:07:12.032000+00:00,26825,31,1,1,-0.039,-0.262,0.002,0.265,0.265,0.477,261.566,0.007,0.006,0.006,5,
1986-01-24 00:08:00.032000+00:00,26825,32,1,1,-0.032,-0.253,-0.003,0.255,0.256,-0.601,262.745,0.01,0.005,0.005,5,
1986-01-24 00:08:48.032000+00:00,26825,33,1,1,-0.022,-0.244,-0.011,0.245,0.246,-2.586,264.811,0.016,0.006,0.017,5,
1986-01-24 00:09:36.032000+00:00,26825,34,1,1,-0.025,-0.24,0.016,0.242,0.242,3.788,264.135,0.004,0.009,0.008,5,
1986-01-24 00:10:24.032000+00:00,26825,35,1,1,-0.087,-0.199,0.111,0.244,0.245,27.105,246.355,0.014,0.019,0.014,5,
1986-01-24 00:11:12.032000+00:00,26825,36,1,1,-0.084,-0.188,0.132,0.245,0.245,32.636,245.834,0.008,0.01,0.019,5,
1986-01-24 00:12:00.032000+00:00,26825,37,1,1,-0.054,-0.217,0.135,0.261,0.262,31.143,255.94,0.012,0.011,0.021,5,
1986-01-24 00:12:48.032000+00:00,26825,38,1,1,-0.049,-0.209,0.14,0.256,0.256,33.112,256.916,0.004,0.002,0.005,5,
1986-01-24 00:13:36.032000+00:00,26825,39,1,1,-0.056,-0.215,0.153,0.27,0.27,34.556,255.362,0.004,0.008,0.009,5,
1986-01-24 00:14:24.032000+00:00,26825,40,1,1,-0.06,-0.199,0.145,0.253,0.253,34.913,253.247,0.008,0.012,0.006,5,
1986-01-24 00:15:12.032000+00:00,26825,41,1,1,-0.066,-0.182,0.166,0.254,0.255,40.58,250.172,0.016,0.01,0.012,5,
1986-01-24 00:16:00.032000+00:00,26825,42,1,1,-0.058,-0.179,0.184,0.264,0.264,44.361,251.949,0.006,0.01,0.012,5,
1986-01-24 00:16:48.032000+00:00,26825,43,1,1,-0.053,-0.2,0.16,0.261,0.262,37.726,255.06,0.005,0.014,0.01,5,
1986-01-24 00:17:36.031000+00:00,26825,44,1,1,-0.059,-0.218,0.14,0.266,0.266,31.907,254.832,0.008,0.008,0.005,5,
1986-01-24 00:18:24.031000+00:00,26825,45,1,1,-0.047,-0.226,0.121,0.26,0.26,27.656,258.181,0.006,0.006,0.01,5,
1986-01-24 00:19:12.031000+00:00,26825,46,1,1,-0.04,-0.226,0.105,0.252,0.253,24.64,259.835,0.006,0.006,0.011,5,
1986-01-24 00:20:00.031000+00:00,26825,47,1,1,-0.05,-0.231,0.132,0.271,0.272,29.222,257.897,0.005,0.015,0.022,5,
1986-01-24 00:20:48.031000+00:00,26825,48,1,1,-0.042,-0.212,0.158,0.268,0.268,36.154,258.859,0.008,0.006,0.004,5,
1986-01-24 00:21:36.031000+00:00,26825,49,1,1,-0.042,-0.218,0.147,0.266,0.266,33.437,259.136,0.007,0.005,0.006,5,
1986-01-24 00:22:24.031000+00:00,26825,50,1,1,-0.025,-0.231,0.088,0.248,0.251,20.689,263.885,0.008,0.012,0.036,5,
1986-01-24 00:23:12.031000+00:00,26825,51,1,1,-0.025,-0.247,0.052,0.253,0.254,11.796,264.107,0.003,0.004,0.008,5,
1986-01-24 00:24:00.031000+00:00,26825,52,1,1,-0.034,-0.241,0.066,0.252,0.253,15.201,262.041,0.005,0.009,0.004,5,
1986-01-24 00:24:48.031000+00:00,26825,53,1,1,-0.029,-0.222,0.065,0.233,0.234,16.043,262.493,0.005,0.006,0.012,5,
1986-01-24 00:25:36.031000+00:00,26825,54,1,1,-0.031,-0.205,0.047,0.212,0.213,12.914,261.417,0.005,0.005,0.013,5,
1986-01-24 00:26:24.031000+00:00,26825,55,1,1,-0.035,-0.209,0.051,0.218,0.219,13.444,260.536,0.009,0.003,0.009,5,
1986-01-24 00:27:12.031000+00:00,26825,56,1,1,-0.037,-0.211,0.078,0.228,0.228,19.979,260.159,0.013,0.005,0.007,5,
1986-01-24 00:28:00.031000+00:00,26825,57,1,1,-0.047,-0.216,0.092,0.239,0.239,22.658,257.698,0.005,0.005,0.008,5,
1986-01-24 00:28:48.031000+00:00,26825,58,1,1,-0.048,-0.188,0.133,0.235,0.235,34.402,255.732,0.007,0.004,0.007,5,
1986-01-24 00:29:36.031000+00:00,26825,59,1,1,-0.052,-0.205,0.141,0.254,0.254,33.767,255.788,0.007,0.004,0.004,5,
1986-01-24 00:30:24.031000+00:00,26826,0,1,1,-0.061,-0.2,0.132,0.248,0.248,32.314,253.161,0.002,0.005,0.005,5,
1986-01-24 00:31:12.031000+00:00,26826,1,1,1,-0.057,-0.184,0.118,0.226,0.226,31.395,252.663,0.005,0.006,0.005,5,
1986-01-24 00:32:00.031000+00:00,26826,2,1,1,-0.065,-0.19,0.127,0.238,0.238,32.248,251.049,0.007,0.006,0.007,5,
1986-01-24 00:32:48.030000+00:00,26826,3,1,1,-0.054,-0.181,0.138,0.234,0.235,36.096,253.258,0.011,0.005,0.01,5,
1986-01-24 00:33:36.030000+00:00,26826,4,1,1,-0.034,-0.156,0.159,0.225,0.225,44.951,257.682,0.002,0.01,0.006,5,
1986-01-24 00:34:24.030000+00:00,26826,5,1,1,-0.049,-0.152,0.144,0.215,0.215,42.059,252.075,0.007,0.012,0.01,5,
1986-01-24 00:35:12.030000+00:00,26826,6,1,1,-0.027,-0.154,0.131,0.204,0.205,39.953,260.19,0.008,0.013,0.017,5,
1986-01-24 00:36:00.030000+00:00,26826,7,1,1,-0.032,-0.135,0.116,0.18,0.182,39.838,256.551,0.005,0.024,0.009,5,
1986-01-24 00:36:48.030000+00:00,26826,8,1,1,-0.045,-0.123,0.126,0.182,0.182,43.979,249.958,0.001,0.008,0.004,5,
1986-01-24 00:37:36.030000+00:00,26826,9,1,1,-0.031,-0.125,0.136,0.187,0.188,46.655,256.215,0.008,0.01,0.011,5,
1986-01-24 00:38:24.030000+00:00,26826,10,1,1,-0.033,-0.12,0.141,0.188,0.189,48.651,254.673,0.008,0.007,0.007,5,
1986-01-24 00:40:48.030000+00:00,26826,13,1,1,-0.067,-0.165,0.055,0.186,0.186,17.077,247.815,0.0,0.0,0.0,1,T
1986-01-24 00:41:36.030000+00:00,26826,14,1,1,-0.045,-0.141,0.069,0.164,0.166,24.967,252.276,0.019,0.014,0.02,5,T
1986-01-24 00:42:24.030000+00:00,26826,15,1,1,-0.05,-0.118,0.1,0.163,0.163,38.132,247.177,0.006,0.01,0.003,5,
1986-01-24 00:43:12.030000+00:00,26826,16,1,1,-0.059,-0.125,0.103,0.173,0.173,36.696,244.64,0.005,0.002,0.006,5,
1986-01-24 00:44:00.030000+00:00,26826,17,1,1,-0.073,-0.13,0.095,0.176,0.177,32.502,240.578,0.007,0.007,0.007,5,
1986-01-24 00:44:48.030000+00:00,26826,18,1,1,-0.067,-0.121,0.07,0.155,0.155,26.768,241.16,0.003,0.011,0.005,5,
1986-01-24 00:45:36.030000+00:00,26826,19,1,1,-0.052,-0.12,0.056,0.143,0.144,23.07,246.512,0.005,0.015,0.013,5,
1986-01-24 00:46:24.030000+00:00,26826,20,1,1,-0.045,-0.097,0.064,0.125,0.127,30.936,244.967,0.002,0.017,0.016,5,
1986-01-24 00:47:12.030000+00:00,26826,21,1,1,-0.032,-0.079,0.078,0.116,0.116,42.693,247.591,0.007,0.009,0.003,5,
1986-01-24 00:48:00.029000+00:00,26826,22,1,1,-0.012,-0.068,0.08,0.106,0.106,49.487,260.108,0.012,0.006,0.008,5,
1986-01-24 00:48:48.029000+00:00,26826,23,1,1,0.013,-0.07,0.113,0.134,0.135,57.705,280.104,0.009,0.018,0.004,5,
1986-01-24 00:49:36.029000+00:00,26826,24,1,1,-0.008,-0.067,0.14,0.155,0.155,64.407,263.469,0.004,0.007,0.004,5,
1986-01-24 00:50:24.029000+00:00,26826,25,1,1,0.017,-0.078,0.142,0.163,0.164,60.552,282.442,0.006,0.012,0.008,5,
1986-01-24 00:51:12.029000+00:00,26826,26,1,1,0.023,-0.095,0.118,0.153,0.155,50.466,283.449,0.008,0.021,0.014,5,
1986-01-24 00:52:00.029000+00:00,26826,27,1,1,0.019,-0.082,0.146,0.169,0.169,59.958,283.017,0.008,0.009,0.011,5,
1986-01-24 00:52:48.029000+00:00,26826,28,1,1,0.012,-0.081,0.15,0.171,0.171,61.348,278.432,0.005,0.011,0.002,5,
1986-01-24 00:53:36.029000+00:00,26826,29,1,1,0.044,-0.108,0.105,0.157,0.158,41.844,292.138,0.013,0.005,0.01,5,
1986-01-24 00:54:24.029000+00:00,26826,30,1,1,0.052,-0.105,0.085,0.145,0.146,35.968,296.189,0.013,0.003,0.007,5,
1986-01-24 00:55:12.029000+00:00,26826,31,1,1,0.043,-0.106,0.092,0.147,0.147,38.806,292.349,0.004,0.007,0.009,5,
1986-01-24 00:56:00.029000+00:00,26826,32,1,1,0.024,-0.051,0.131,0.142,0.143,66.881,295.264,0.004,0.007,0.005,5,
1986-01-24 00:56:48.029000+00:00,26826,33,1,1,0.026,-0.037,0.134,0.142,0.143,71.255,305.058,0.008,0.013,0.004,5,
1986-01-24 00:57:36.029000+00:00,26826,34,1,1,0.033,-0.022,0.144,0.149,0.149,74.66,326.045,0.008,0.006,0.004,5,
1986-01-24 00:58:24.029000+00:00,26826,35,1,1,0.044,-0.042,0.148,0.159,0.16,67.719,316.233,0.005,0.004,0.004,5,
1986-01-24 00:59:12.029000+00:00,26826,36,1,1,0.051,-0.031,0.143,0.154,0.155,67.399,328.55,0.005,0.011,0.005,5,
1986-01-24 01:00:00.029000+00:00,26826,37,1,1,0.023,-0.017,0.136,0.139,0.141,78.192,324.122,0.006,0.017,0.012,5,
1986-01-24 01:00:48.029000+00:00,26826,38,1,1,-0.001,0.014,0.16,0.161,0.161,85.023,92.971,0.01,0.007,0.007,5,
1986-01-24 01:01:36.029000+00:00,26826,39,1,1,-0.021,-0.001,0.187,0.188,0.188,83.706,182.515,0.009,0.002,0.008,5,
1986-01-24 01:02:24.029000+00:00,26826,40,1,1,-0.014,-0.018,0.194,0.195,0.195,83.339,232.248,0.01,0.009,0.006,5,
1986-01-24 01:03:12.028000+00:00,26826,41,1,1,-0.004,-0.013,0.201,0.201,0.202,86.044,253.445,0.009,0.006,0.001,5,
1986-01-24 01:04:00.028000+00:00,26826,42,1,1,-0.025,-0.021,0.196,0.199,0.199,80.638,220.076,0.002,0.004,0.007,5,
1986-01-24 01:04:48.028000+00:00,26826,43,1,1,-0.029,-0.01,0.192,0.194,0.194,80.919,198.372,0.009,0.007,0.004,5,
1986-01-24 01:05:36.028000+00:00,26826,44,1,1,-0.033,-0.013,0.194,0.197,0.197,79.667,202.279,0.006,0.002,0.006,5,
1986-01-24 01:06:24.028000+00:00,26826,45,1,1,-0.018,-0.008,0.198,0.199,0.199,84.381,205.624,0.007,0.006,0.006,5,
1986-01-24 01:07:12.028000+00:00,26826,46,1,1,0.005,-0.015,0.204,0.205,0.205,85.527,287.432,0.004,0.008,0.003,5,
1986-01-24 01:08:00.028000+00:00,26826,47,1,1,0.01,-0.028,0.196,0.198,0.198,81.375,289.746,0.006,0.006,0.002,5,
1986-01-24 01:08:48.028000+00:00,26826,48,1,1,-0.015,-0.016,0.187,0.189,0.189,83.271,227.681,0.004,0.008,0.006,5,
1986-01-24 01:09:36.028000+00:00,26826,49,1,1,-0.008,-0.016,0.181,0.182,0.183,84.511,243.828,0.01,0.009,0.005,5,
1986-01-24 01:10:24.028000+00:00,26826,50,1,1,0.013,-0.005,0.198,0.199,0.199,85.954,338.354,0.006,0.014,0.004,5,
1986-01-24 01:11:12.028000+00:00,26826,51,1,1,0.014,-0.007,0.19,0.191,0.192,85.364,334.946,0.006,0.025,0.006,5,
1986-01-24 01:12:00.028000+00:00,26826,52,1,1,0.008,0.004,0.192,0.193,0.193,87.395,28.219,0.005,0.009,0.005,5,
1986-01-24 01:12:48.028000+00:00,26826,53,1,1,0.015,0.005,0.202,0.203,0.203,85.57,17.55,0.006,0.004,0.002,5,
1986-01-24 01:13:36.028000+00:00,26826,54,1,1,0.017,-0.005,0.207,0.208,0.208,85.134,343.771,0.008,0.008,0.006,5,
1986-01-24 01:14:24.028000+00:00,26826,55,1,1,0.021,-0.0,0.216,0.217,0.217,84.364,359.278,0.003,0.008,0.005,5,
1986-01-24 01:15:12.028000+00:00,26826,56,1,1,0.01,-0.005,0.203,0.203,0.203,86.855,335.429,0.005,0.008,0.004,5,
1986-01-24 01:16:00.028000+00:00,26826,57,1,1,0.018,0.009,0.204,0.205,0.205,84.321,25.469,0.007,0.006,0.002,5,
1986-01-24 01:16:48.028000+00:00,26826,58,1,1,0.022,-0.019,0.211,0.213,0.213,82.108,319.044,0.003,0.005,0.005,5,
1986-01-24 01:20:48.027000+00:00,26827,3,1,1,0.019,-0.028,0.227,0.229,0.23,81.551,304.453,0.012,0.007,0.004,5,TO
1986-01-24 01:21:36.027000+00:00,26827,4,1,1,-0.005,-0.031,0.216,0.218,0.219,81.664,261.399,0.009,0.01,0.007,5,
1986-01-24 01:22:24.027000+00:00,26827,5,1,1,-0.018,-0.049,0.225,0.231,0.231,76.924,249.259,0.006,0.003,0.004,5,
1986-01-24 01:23:12.027000+00:00,26827,6,1,1,-0.016,-0.063,0.237,0.246,0.246,74.562,255.554,0.005,0.004,0.003,5,
1986-01-24 01:24:00.027000+00:00,26827,7,1,1,-0.017,-0.078,0.217,0.232,0.232,69.918,257.365,0.002,0.006,0.004,5,
1986-01-24 01:24:48.027000+00:00,26827,8,1,1,-0.013,-0.053,0.195,0.203,0.203,74.483,256.557,0.005,0.017,0.008,5,
1986-01-24 01:25:36.027000+00:00,26827,9,1,1,-0.002,-0.031,0.168,0.17,0.171,79.503,267.01,0.009,0.008,0.015,5,
1986-01-24 01:26:24.027000+00:00,26827,10,1,1,0.0,-0.017,0.137,0.138,0.138,83.084,271.702,0.004,0.005,0.01,5,
1986-01-24 01:27:12.027000+00:00,26827,11,1,1,-0.001,-0.028,0.142,0.145,0.145,78.755,268.832,0.005,0.006,0.01,5,
1986-01-24 01:28:00.027000+00:00,26827,12,1,1,0.008,-0.01,0.088,0.089,0.091,81.918,308.33,0.006,0.014,0.012,5,
1986-01-24 01:28:48.027000+00:00,26827,13,1,1,-0.001,-0.002,0.098,0.098,0.099,88.637,230.413,0.005,0.017,0.011,5,
1986-01-24 01:29:36.027000+00:00,26827,14,1,1,-0.021,0.016,0.146,0.149,0.149,79.644,142.284,0.012,0.006,0.015,5,
1986-01-24 01:30:24.027000+00:00,26827,15,1,1,-0.049,-0.004,0.16,0.168,0.168,72.811,184.748,0.008,0.01,0.004,5,
1986-01-24 01:31:12.027000+00:00,26827,16,1,1,-0.049,-0.032,0.17,0.18,0.18,70.789,213.101,0.006,0.004,0.005,5,
1986-01-24 01:32:00.027000+00:00,26827,17,1,1,-0.039,-0.015,0.166,0.171,0.171,75.937,201.198,0.006,0.011,0.004,5,
1986-01-24 01:32:48.027000+00:00,26827,18,1,1,-0.027,0.046,0.145,0.154,0.154,69.766,119.867,0.006,0.008,0.005,5,
1986-01-24 01:33:36.026000+00:00,26827,19,1,1,-0.037,0.063,0.111,0.133,0.133,56.732,120.104,0.007,0.006,0.021,5,
1986-01-24 01:34:24.026000+00:00,26827,20,1,1,-0.054,0.068,0.092,0.126,0.127,46.618,128.636,0.005,0.007,0.005,5,
1986-01-24 01:35:12.026000+00:00,26827,21,1,1,-0.068,0.051,0.066,0.108,0.11,37.837,143.219,0.008,0.014,0.021,5,
1986-01-24 01:36:00.026000+00:00,26827,22,1,1,-0.085,0.075,0.045,0.122,0.126,21.526,138.599,0.004,0.032,0.016,5,
1986-01-24 01:36:48.026000+00:00,26827,23,1,1,-0.075,0.096,-0.014,0.122,0.123,-6.603,128.106,0.005,0.008,0.015,5,
1986-01-24 01:37:36.026000+00:00,26827,24,1,1,-0.07,0.098,-0.082,0.145,0.148,-34.318,125.445,0.007,0.014,0.026,5,
1986-01-24 01:38:24.026000+00:00,26827,25,1,1,-0.048,0.092,-0.1,0.144,0.144,-44.019,117.572,0.008,0.011,0.006,5,
1986-01-24 01:39:12.026000+00:00,26827,26,1,1,-0.049,0.084,-0.113,0.149,0.149,-49.362,120.007,0.004,0.007,0.006,5,
1986-01-24 01:40:00.026000+00:00,26827,27,1,1,-0.044,0.081,-0.109,0.143,0.143,-49.877,118.645,0.004,0.005,0.004,5,
1986-01-24 01:40:48.026000+00:00,26827,28,1,1,-0.049,0.088,-0.117,0.155,0.155,-49.39,118.87,0.008,0.008,0.005,5,
1986-01-24 01:41:36.026000+00:00,26827,29,1,1,-0.053,0.089,-0.131,0.167,0.167,-51.773,120.579,0.009,0.009,0.004,5,
1986-01-24 01:42:24.026000+00:00,26827,30,1,1,-0.047,0.105,-0.136,0.178,0.178,-49.891,114.087,0.005,0.005,0.002,5,
1986-01-24 01:43:12.026000+00:00,26827,31,1,1,-0.043,0.099,-0.138,0.175,0.176,-51.762,113.529,0.004,0.011,0.007,5,
1986-01-24 01:44:00.026000+00:00,26827,32,1,1,-0.065,0.109,-0.104,0.164,0.165,-39.448,120.871,0.011,0.009,0.012,5,
1986-01-24 01:44:48.026000+00:00,26827,33,1,1,-0.054,0.1,-0.099,0.151,0.152,-41.084,118.34,0.01,0.009,0.014,5,
1986-01-24 01:45:36.026000+00:00,26827,34,1,1,-0.078,0.105,-0.068,0.147,0.148,-27.663,126.603,0.006,0.008,0.007,5,
1986-01-24 01:46:24.026000+00:00,26827,35,1,1,-0.08,0.101,-0.054,0.14,0.141,-22.803,128.436,0.005,0.009,0.003,5,
1986-01-24 01:47:12.026000+00:00,26827,36,1,1,-0.083,0.098,-0.076,0.149,0.151,-30.7,130.385,0.013,0.009,0.017,5,
1986-01-24 01:48:00.025000+00:00,26827,37,1,1,-0.073,0.092,-0.092,0.149,0.15,-38.147,128.491,0.002,0.018,0.015,5,
1986-01-24 01:48:48.025000+00:00,26827,38,1,1,-0.074,0.128,-0.054,0.158,0.158,-20.143,120.128,0.002,0.01,0.008,5,
1986-01-24 01:49:36.025000+00:00,26827,39,1,1,-0.083,0.115,-0.062,0.155,0.155,-23.555,125.908,0.003,0.008,0.007,5,
1986-01-24 01:50:24.025000+00:00,26827,40,1,1,-0.079,0.095,-0.082,0.148,0.149,-33.718,129.868,0.005,0.004,0.007,5,
1986-01-24 01:51:12.025000+00:00,26827,41,1,1,-0.077,0.094,-0.103,0.159,0.159,-40.111,129.336,0.003,0.002,0.008,5,
1986-01-24 01:52:00.025000+00:00,26827,42,1,1,-0.065,0.094,-0.106,0.156,0.156,-42.92,124.742,0.005,0.009,0.005,5,
1986-01-24 01:52:48.025000+00:00,26827,43,1,1,-0.042,0.072,-0.116,0.143,0.143,-54.37,120.227,0.002,0.004,0.002,5,
1986-01-24 01:53:36.025000+00:00,26827,44,1,1,-0.061,0.08,-0.112,0.151,0.151,-48.069,127.544,0.008,0.008,0.005,5,
1986-01-24 01:54:24.025000+00:00,26827,45,1,1,-0.055,0.08,-0.113,0.148,0.149,-49.469,124.465,0.008,0.005,0.006,5,
1986-01-24 01:55:12.025000+00:00,26827,46,1,1,-0.059,0.069,-0.103,0.137,0.138,-48.593,130.186,0.011,0.004,0.01,5,
1986-01-24 01:56:00.025000+00:00,26827,47,1,1,-0.08,0.067,-0.111,0.152,0.152,-46.789,139.976,0.006,0.005,0.006,5,
1986-01-24 01:56:48.025000+00:00,26827,48,1,1,-0.069,0.08,-0.129,0.167,0.167,-50.648,130.459,0.011,0.003,0.003,5,
1986-01-24 01:57:36.025000+00:00,26827,49,1,1,-0.048,0.071,-0.113,0.142,0.142,-52.714,124.252,0.007,0.005,0.004,5,
1986-01-24 01:58:24.025000+00:00,26827,50,1,1,-0.061,0.078,-0.112,0.15,0.15,-48.478,128.214,0.008,0.006,0.003,5,
1986-01-24 01:59:12.025000+00:00,26827,51,1,1,-0.069,0.078,-0.118,0.157,0.158,-48.604,131.415,0.006,0.004,0.006,5,
1986-01-24 02:00:00.025000+00:00,26827,52,1,1,-0.037,0.066,-0.136,0.156,0.157,-60.752,119.4,0.015,0.007,0.006,5,
1986-01-24 02:00:48.025000+00:00,26827,53,1,1,-0.034,0.07,-0.151,0.169,0.17,-62.649,115.571,0.004,0.005,0.004,5,
1986-01-24 02:01:36.025000+00:00,26827,54,1,1,-0.031,0.082,-0.151,0.175,0.175,-59.766,110.686,0.006,0.006,0.001,5,
1986-01-24 02:02:24.025000+00:00,26827,55,1,1,-0.046,0.08,-0.15,0.176,0.176,-58.62,119.784,0.003,0.006,0.001,5,
1986-01-24 02:03:12.024000+00:00,26827,56,1,1,-0.033,0.076,-0.155,0.175,0.176,-61.903,113.525,0.006,0.009,0.004,5,
1986-01-24 02:04:00.024000+00:00,26827,57,1,1,-0.035,0.07,-0.139,0.16,0.16,-60.698,116.264,0.004,0.01,0.006,5,
1986-01-24 02:04:48.024000+00:00,26827,58,1,1,-0.03,0.052,-0.136,0.149,0.149,-66.098,119.611,0.009,0.006,0.001,5,
1986-01-24 02:05:36.024000+00:00,26827,59,1,1,-0.024,0.046,-0.139,0.148,0.148,-69.61,117.181,0.012,0.006,0.006,5,
1986-01-24 02:06:24.024000+00:00,26828,0,1,1,-0.038,0.05,-0.132,0.146,0.146,-64.594,127.536,0.005,0.006,0.004,5,
1986-01-24 02:07:12.024000+00:00,26828,1,1,1,-0.035,0.045,-0.123,0.135,0.135,-65.294,127.788,0.003,0.004,0.005,5,
1986-01-24 02:08:00.024000+00:00,26828,2,1,1,-0.034,0.047,-0.121,0.134,0.134,-64.4,126.017,0.004,0.008,0.003,5,
1986-01-24 02:08:48.024000+00:00,26828,3,1,1,-0.032,0.043,-0.126,0.137,0.137,-67.091,126.5,0.004,0.005,0.004,5,
1986-01-24 02:09:36.024000+00:00,26828,4,1,1,-0.042,0.043,-0.125,0.139,0.139,-64.176,134.037,0.005,0.003,0.004,5,
1986-01-24 02:10:24.024000+00:00,26828,5,1,1,-0.037,0.041,-0.118,0.13,0.13,-64.705,132.005,0.003,0.008,0.008,5,
1986-01-24 02:11:12.024000+00:00,26828,6,1,1,-0.044,0.058,-0.096,0.12,0.121,-52.946,127.214,0.004,0.005,0.008,5,
1986-01-24 02:12:00.024000+00:00,26828,7,1,1,-0.035,0.048,-0.102,0.118,0.118,-59.468,126.334,0.004,0.007,0.007,5,
1986-01-24 02:12:48.024000+00:00,26828,8,1,1,-0.033,0.048,-0.109,0.124,0.124,-62.009,124.962,0.003,0.005,0.004,5,
1986-01-24 02:13:36.024000+00:00,26828,9,1,1,-0.044,0.067,-0.12,0.144,0.144,-56.285,123.353,0.005,0.003,0.008,5,
1986-01-24 02:14:24.024000+00:00,26828,10,1,1,-0.04,0.068,-0.107,0.133,0.134,-53.582,120.758,0.004,0.003,0.011,5,
1986-01-24 02:15:12.024000+00:00,26828,11,1,1,-0.042,0.081,-0.075,0.118,0.118,-39.321,117.601,0.007,0.009,0.009,5,
1986-01-24 02:16:00.024000+00:00,26828,12,1,1,-0.032,0.067,-0.114,0.136,0.137,-56.755,115.71,0.004,0.004,0.011,5,
1986-01-24 02:16:48.024000+00:00,26828,13,1,1,-0.03,0.066,-0.113,0.135,0.135,-57.333,114.288,0.005,0.01,0.005,5,
1986-01-24 02:17:36.024000+00:00,26828,14,1,1,-0.033,0.068,-0.113,0.135,0.136,-56.257,116.111,0.008,0.009,0.005,5,
1986-01-24 02:18:24.023000+00:00,26828,15,1,1,-0.036,0.081,-0.091,0.127,0.127,-46.003,113.822,0.003,0.006,0.007,5,
1986-01-24 02:19:12.023000+00:00,26828,16,1,1,-0.031,0.075,-0.092,0.122,0.123,-48.424,112.602,0.007,0.006,0.004,5,
1986-01-24 02:20:00.023000+00:00,26828,17,1,1,-0.04,0.079,-0.098,0.132,0.133,-48.059,116.765,0.005,0.015,0.013,5,
1986-01-24 02:20:48.023000+00:00,26828,18,1,1,-0.045,0.071,-0.081,0.116,0.117,-44.167,122.336,0.009,0.008,0.006,5,
1986-01-24 02:21:36.023000+00:00,26828,19,1,1,-0.052,0.082,-0.071,0.12,0.121,-36.145,122.555,0.01,0.017,0.008,5,
1986-01-24 02:22:24.023000+00:00,26828,20,1,1,-0.04,0.085,-0.064,0.113,0.114,-34.295,115.0,0.006,0.01,0.007,5,
1986-01-24 02:23:12.023000+00:00,26828,21,1,1,-0.046,0.072,-0.062,0.106,0.106,-35.812,122.591,0.009,0.004,0.005,5,
1986-01-24 02:24:00.023000+00:00,26828,22,1,1,-0.023,0.101,-0.064,0.122,0.122,-31.702,102.651,0.01,0.006,0.004,5,
1986-01-24 02:24:48.023000+00:00,26828,23,1,1,-0.015,0.097,-0.079,0.126,0.126,-38.729,98.696,0.011,0.003,0.007,5,
1986-01-24 02:25:36.023000+00:00,26828,24,1,1,-0.02,0.097,-0.09,0.134,0.134,-42.096,101.554,0.006,0.008,0.002,5,
1986-01-24 02:26:24.023000+00:00,26828,25,1,1,-0.025,0.091,-0.081,0.125,0.125,-40.78,105.662,0.003,0.004,0.005,5,
1986-01-24 02:27:12.023000+00:00,26828,26,1,1,-0.037,0.082,-0.083,0.122,0.123,-42.613,114.055,0.007,0.005,0.011,5,
1986-01-24 02:28:00.023000+00:00,26828,27,1,1,-0.051,0.089,-0.075,0.127,0.128,-36.15,119.52,0.008,0.006,0.011,5,
1986-01-24 02:28:48.023000+00:00,26828,28,1,1,-0.045,0.097,-0.085,0.137,0.137,-38.652,114.838,0.004,0.006,0.009,5,
1986-01-24 02:29:36.023000+00:00,26828,29,1,1,-0.057,0.103,-0.098,0.153,0.153,-39.853,118.867,0.006,0.004,0.006,5,
