PDSTIME,Radius,Colatitude,Longitude,Br,Btheta,Bphi
1986-01-24T14:59:59,7.966777,50.454,143.133,-22.079,40.981,-8.904
1986-01-24T15:00:47,7.941352,50.577,142.78,-22.463,41.307,-8.775
1986-01-24T15:01:35,7.91595,50.702,142.428,-23.014,41.795,-8.626
1986-01-24T15:02:23,7.890578,50.827,142.075,-23.489,42.209,-8.473
1986-01-24T15:03:11,7.865236,50.953,141.722,-23.965,42.611,-8.328
1986-01-24T15:03:59,7.839922,51.079,141.368,-24.44,43.051,-8.179
1986-01-24T15:04:47,7.814635,51.207,141.015,-24.946,43.462,-8.013
1986-01-24T15:05:35,7.789376,51.336,140.662,-25.432,43.905,-7.841
1986-01-24T15:06:23,7.764148,51.465,140.308,-25.939,44.328,-7.682
1986-01-24T15:07:11,7.73895,51.595,139.955,-26.516,44.824,-7.506
1986-01-24T15:07:59,7.713781,51.726,139.601,-26.972,45.216,-7.327
1986-01-24T15:08:47,7.688641,51.858,139.247,-27.514,45.653,-7.153
1986-01-24T15:09:35,7.663533,51.991,138.893,-28.032,46.098,-6.963
1986-01-24T15:10:23,7.638456,52.125,138.538,-28.748,46.696,-6.71
1986-01-24T15:11:11,7.613412,52.259,138.184,-29.198,47.043,-6.584
1986-01-24T15:11:59,7.588396,52.395,137.83,-29.679,47.46,-6.405
1986-01-24T15:12:47,7.563415,52.531,137.475,-30.242,47.927,-6.2
1986-01-24T15:13:35,7.538464,52.668,137.12,-30.814,48.398,-6.0
1986-01-24T15:14:23,7.513548,52.807,136.765,-31.399,48.878,-5.768
1986-01-24T15:15:11,7.488666,52.946,136.41,-31.982,49.364,-5.543
1986-01-24T15:15:59,7.463814,53.086,136.055,-32.581,49.844,-5.333
1986-01-24T15:16:47,7.438998,53.227,135.7,-33.188,50.334,-5.107
1986-01-24T15:17:35,7.414214,53.369,135.344,-33.808,50.817,-4.867
1986-01-24T15:18:23,7.389468,53.512,134.989,-34.428,51.33,-4.615
1986-01-24T15:19:11,7.364756,53.656,134.633,-35.064,51.817,-4.396
1986-01-24T15:19:59,7.340076,53.801,134.277,-35.662,52.333,-4.258
1986-01-24T15:20:47,7.315438,53.947,133.921,-36.365,52.831,-3.866
1986-01-24T15:21:35,7.290833,54.094,133.565,-37.005,53.35,-3.617
1986-01-24T15:22:23,7.266264,54.242,133.209,-37.662,53.881,-3.34
