PDSTIME              SC_X        SC_Y        SC_Z       SC_R        SC_LAT   SC_LON
1986-01-24T14:59:59   -6.138517   0.169161    5.075371   7.966777   39.546   143.133
1986-01-24T15:00:47   -6.129697   0.173591    5.045950   7.941352   39.423   142.780
1986-01-24T15:01:35   -6.120869   0.178021    5.016520   7.915950   39.298   142.428
1986-01-24T15:02:23   -6.112025   0.182451    4.987083   7.890578   39.173   142.075
1986-01-24T15:03:11   -6.103175   0.186881    4.957638   7.865236   39.047   141.722
1986-01-24T15:03:59   -6.094315   0.191310    4.928185   7.839922   38.921   141.368
1986-01-24T15:04:47   -6.085444   0.195739    4.898723   7.814635   38.793   141.015
1986-01-24T15:05:35   -6.076565   0.200167    4.869252   7.789376   38.664   140.662
1986-01-24T15:06:23   -6.067672   0.204596    4.839770   7.764148   38.535   140.308
1986-01-24T15:07:11   -6.058767   0.209023    4.810287   7.738950   38.405   139.955
1986-01-24T15:07:59   -6.049862   0.213451    4.780788   7.713781   38.274   139.601
1986-01-24T15:08:47   -6.040936   0.217878    4.751287   7.688641   38.142   139.247
1986-01-24T15:09:35   -6.032003   0.222305    4.721775   7.663533   38.009   138.893
1986-01-24T15:10:23   -6.023060   0.226731    4.692256   7.638456   37.875   138.538
1986-01-24T15:11:11   -6.014106   0.231157    4.662725   7.613412   37.741   138.184
1986-01-24T15:11:59   -6.005138   0.235582    4.633190   7.588396   37.605   137.830
1986-01-24T15:12:47   -5.996166   0.240008    4.603641   7.563415   37.469   137.475
1986-01-24T15:13:35   -5.987179   0.244432    4.574091   7.538464   37.332   137.120
1986-01-24T15:14:23   -5.978179   0.248856    4.544528   7.513548   37.193   136.765
1986-01-24T15:15:11   -5.969170   0.253280    4.514957   7.488666   37.054   136.410
1986-01-24T15:15:59   -5.960152   0.257703    4.485376   7.463814   36.914   136.055
1986-01-24T15:16:47   -5.951117   0.262126    4.455785   7.438998   36.773   135.700
1986-01-24T15:17:35   -5.942077   0.266548    4.426191   7.414214   36.631   135.344
1986-01-24T15:18:23   -5.933019   0.270970    4.396585   7.389468   36.488   134.989
